Machine,IP,OS,Reg_Date,Vendor,Model,Serial,Tag,Warranty_Expiration,Warranty_Extension,Ship_Date,CPU,Disk,RAM,NIC,UUID,Building,Room,Rack,Size,Function,Level,Priority,Service,Department,Contact,Authorized_Requesters,Solutionary,Backup,Chef_Org,Hosting_Type
mta-p16.oit.umn.edu,134.84.196.216,rhel-x86_64-server-6,2015-11-03,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 8c 5c 40 b9 07 1b-77 02 4e 68 9e 36 be a2,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,7986,eth0-00:50:56:a3:07:18-134.84.196.216,42238c5c40b9071b77024e689e36bea2,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-p17.oit.umn.edu,134.84.196.217,rhel-x86_64-server-6,2015-10-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 77 40 c6 8b 0d a4-43 b7 0e bd 7c af eb 20,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,7986,eth0-00:50:56:a3:04:a4-134.84.196.217,42237740c68b0da443b70ebd7cafeb20,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-p18.oit.umn.edu,134.84.196.197,rhel-x86_64-server-6,2015-10-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 ed e6 85 20 93 88-91 f8 3d 7f 0d 03 7d 75,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,7986,eth0-00:50:56:a3:00:a6-134.84.196.197,4223ede68520938891f83d7f0d037d75,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-p19.oit.umn.edu,134.84.196.198,rhel-x86_64-server-6,2016-01-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 4f d8 a2 6c dc 0c-86 17 d8 2a ae f7 c8 70,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,7986,eth0-00:50:56:a3:54:9c-134.84.196.198,42234fd8a26cdc0c8617d82aaef7c870,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-p1.oit.umn.edu,134.84.196.201,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 9c 12 6b 04 a3 da-8d 6d 8a af bd c4 dd 17,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:10:59-134.84.196.201,42239c126b04a3da8d6d8aafbdc4dd17,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p20.oit.umn.edu,134.84.196.199,rhel-x86_64-server-6,2016-01-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 f9 a2 11 e1 a7 5b-77 19 bd 6f f0 60 ac 5b,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,7986,eth0-00:50:56:a3:0b:1c-134.84.196.199,4223f9a211e1a75b7719bd6ff060ac5b,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-p2.oit.umn.edu,134.84.196.202,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 29 5b 38 83 84 91-18 43 94 10 44 25 95 94,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:10:a3-134.84.196.202,4223295b388384911843941044259594,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p3.oit.umn.edu,134.84.196.203,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 c0 82 e2 fa 5f 87-c4 da d2 11 6e 8e 2a b9,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:04:37-134.84.196.203,4223c082e2fa5f87c4dad2116e8e2ab9,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p4.oit.umn.edu,134.84.196.204,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b9 46 dd 5c fb 03-8d 9f 05 4d fd 89 fb 75,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:36:89-134.84.196.204,4223b946dd5cfb038d9f054dfd89fb75,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p5.oit.umn.edu,134.84.196.205,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 3b 1f ff 49 93 0e-63 d5 01 be 37 dd d9 dd,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:0c:76-134.84.196.205,42233b1fff49930e63d501be37ddd9dd,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p6.oit.umn.edu,134.84.196.206,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 be cc d2 6a 96 21-75 b6 04 52 d1 ac 3d f5,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:34:3e-134.84.196.206,4223beccd26a962175b60452d1ac3df5,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p7.oit.umn.edu,134.84.196.207,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 94 3f 42 0a 44 88-40 63 05 25 14 05 91 c7,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:1d:56-134.84.196.207,4223943f420a448840630525140591c7,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p8.oit.umn.edu,134.84.196.208,rhel-x86_64-server-6,2015-05-08,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 6a 25 58 7e 60 6d-b0 1a c4 1c 6f 2a 02 48,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3954,eth0-00:50:56:a3:49:4b-134.84.196.208,42236a25587e606db01ac41c6f2a0248,TelecomB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Messaging and Calendaring,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-p9.oit.umn.edu,134.84.196.209,rhel-x86_64-server-6,2015-10-27,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 fc 9f a8 6f 6a f6-76 1d ff fa 63 3d c3 9a,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,120G,3946,eth0-00:50:56:a3:40:dd-134.84.196.209,4223fc9fa86f6af6761dfffa633dc39a,WBOB,VM,VM,VM,MTA (Mail Transfer Agent),Production,NA,Collaboration and Web Content,OIT,is@umn.edu,ala jkg sfs tmg jtw,Yes,Yes,NA,NA
mta-t1.oit.umn.edu,134.84.196.193,rhel-x86_64-server-6,2015-04-06,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 dd 6e 1d 34 a8 f9-9f 38 42 6c b1 3f 41 e0,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,90G,3954,eth0-00:50:56:a3:77:3e-134.84.196.193,4223dd6e1d34a8f99f38426cb13f41e0,WBOB,VM,VM,VM,MTA server,Test,NA,Messaging and Calendaring,OIT/MCS,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-t2.oit.umn.edu,134.84.196.194,rhel-x86_64-server-6,2015-04-29,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 99 9e 10 68 b9 fc-a6 51 4a 33 72 27 b4 3f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,90G,3954,eth0-00:50:56:a3:3b:8d-134.84.196.194,4223999e1068b9fca6514a337227b43f,WBOB,VM,VM,VM,MTA server,Test,NA,Messaging and Calendaring,OIT/MCS,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-t3.oit.umn.edu,134.84.196.195,rhel-x86_64-server-6,2015-07-14,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 31 03 85 f0 64 57-24 00 4c 40 c8 49 32 04,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,90G,3954,eth0-00:50:56:a3:11:c3-134.84.196.195,4223310385f0645724004c40c8493204,WBOB,VM,VM,VM,MTA Server,Test,NA,Hosting,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mta-t4.oit.umn.edu,134.84.196.196,rhel-x86_64-server-6,2015-07-14,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 35 e6 2d f9 06 8b-82 4e cd 80 c3 5c 3b 59,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,90G,3954,eth0-00:50:56:a3:25:56-134.84.196.196,422335e62df9068b824ecd80c35c3b59,TelecomB,VM,VM,VM,MTA Server,Test,NA,Hosting,OIT,is@umn.edu,ala jtw sfs tmg jkg,Yes,Yes,NA,NA
mtx-discovery-dev.oit.umn.edu,128.101.122.67,rhel-x86_64-server-7,2017-02-09,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d1 80 3c a2 da 9e-dc dc 97 4e 37 67 55 e1,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,3783,NA,4223d1803ca2da9edcdc974e376755e1,WBOB,VM,VM,VM,Rails application server,Development,3,Hosting,MTX,link@umn.edu swans062@umn.edu fenne035@umn.edu,link swans062 fenne035,No,No,oit-hosting,Jointly Managed
mtx-mnreflect-prd.oit.umn.edu,128.101.122.143,rhel-x86_64-server-7,2017-06-05,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 78 24 33 76 83 ff-60 07 01 5c 6f c1 b2 39,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,42237824337683ff6007015c6fc1b239,WBOB,VM,VM,VM,custom Rails app,Production,3,Hosting,MTX,link@umn.edu,link fenne035 swan062,No,No,oit-hosting,Jointly Managed
mtx-reflection-prd.oit.umn.edu,128.101.122.140,rhel-x86_64-server-7,2017-05-25,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 a6 93 e2 96 5c ba-3e 9a 1f d2 dc ac 81 3b,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223a693e2965cba3e9a1fd2dcac813b,WBOB,VM,VM,VM,Custom Rails application server,Production,3,Hosting,MTX,link@umn.edu,link fenne035 swans062,No,No,oit-hosting,Jointly Managed
myu13.oit.umn.edu,134.84.231.143,rhel-x86_64-server-6,2012-01-13,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 7e f8 1c 8d b4 7b-76 80 90 33 38 94 a8 ab,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,13932,eth1-00:50:56:b0:12:9e-134.84.135.219 eth0-00:50:56:b0:12:9d-134.84.231.143,42307ef81c8db47b768090333894a8ab,WBOB,VM,NA,NA,myU portal web node,Production,1,Collaboration and Web Content,OIT,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nceo-web.oit.umn.edu,134.84.192.39,rhel-x86_64-server-6,2013-02-15,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 41 fc 51 c1 04 7a-1d 61 31 7b ba e0 1e 1a,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz,85G,2002,eth0-00:50:56:a3:4b:1d-134.84.192.39,422341fc51c1047a1d61317bbae01e1a,WBOB,VM,VM,VM,Web hosting for National Center on Education Outcomes,Production,1,Hosting,ICI,deanx032@umn.edu,deanx032,Yes,Yes,NA,NA
nfappdev01.oit.umn.edu,192.168.59.57,rhel-x86_64-server-5,2011-02-16,VMware  Inc.,VMware Virtual Platform None,VMware-42 30 3b 1b 82 84 ea ca-fc f9 f5 7f 5c 62 3d db,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,NA,2010,eth0-00:50:56:b0:00:00-192.168.59.57,42303b1b8284eacafcf9f57f5c623ddb,WBOB,Virtual,Virtual,NA,Netfiles server dev,Development,3,Collaboration and Web Content,ASR,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nfappprd01.oit.umn.edu,192.168.53.66,rhel-x86_64-server-5,2011-04-05,VMware  Inc.,VMware Virtual Platform None,VMware-42 30 9b 8f 65 71 42 27-9e eb 9b b3 c2 be 8f 1c,NA,NA,VM,VM,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,7982,eth0-00:50:56:b0:00:5d-192.168.53.66 eth1-00:50:56:b0:00:72-192.168.59.58,42309b8f657142279eeb9bb3c2be8f1c,WBOB,VM,VM,VM,Netfiles production server,Production,1,Collaboration and Web Content,OIA,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nfappprd02.oit.umn.edu,192.168.53.67,rhel-x86_64-server-5,2011-04-05,VMware  Inc.,VMware Virtual Platform None,VMware-42 30 8a 67 6e 2e 83 50-10 bc 72 63 8a fe ff 12,NA,NA,VM,VM,Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz,VM,7982,eth0-00:50:56:b0:00:5e-192.168.53.67 eth1-00:50:56:b0:00:73-192.168.59.77,42308a676e2e835010bc72638afeff12,WBOB,VM,VM,VM,Netfiles production server,Production,1,Collaboration and Web Content,OIA,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nfapptst01.oit.umn.edu,192.168.53.64,rhel-x86_64-server-5,2011-03-31,VMware  Inc.,VMware Virtual Platform None,VMware-42 30 bf 3c f2 dd 46 22-e6 13 f6 6e 33 23 c6 ec,NA,NA,VM,VM,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz,VM,2010,eth0-00:50:56:b0:00:59-192.168.53.64 eth1-00:50:56:b0:00:65-192.168.59.66,4230bf3cf2dd4622e613f66e3323c6ec,WBOB,VM,VM,VM,Netfiles test server,Test,2,Collaboration and Web Content,OIA,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nfapptst02.oit.umn.edu,192.168.53.65,rhel-x86_64-server-5,2011-03-31,VMware  Inc.,VMware Virtual Platform None,VMware-42 30 13 ef db 23 1e ef-89 4d 80 79 fa a7 42 bf,NA,NA,VM,VM,Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz,VM,2010,eth0-00:50:56:b0:00:5a-192.168.53.65 eth1-00:50:56:b0:00:66-192.168.59.73,423013efdb231eef894d8079faa742bf,WBOB,VM,VM,VM,Netfiles test server,Test,2,Collaboration and Web Content,OIA,swadm@software.umn.edu,lars3064 myer0244 ryan ejolsen,No,NA,NA,NA
nfdev.oit.umn.edu,10.32.110.245,rhel-x86_64-server-7,2017-01-27,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 d0 b8 fc e8 b6 20-26 25 5f 5b 1f 98 51 7e,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1832,NA,4223d0b8fce8b62026255f5b1f98517e,WBOB,VM,VM,VM,Web server for NetFiles dev,Development,3,Collaboration and Web Content,OIT,rimbu002@umn.edu,rimbu002 starr027,No,No,oit-hosting,Fully Managed
nfprd01.oit.umn.edu,10.32.136.150,rhel-x86_64-server-7,2017-05-10,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 b2 1b 05 5f 6d 2d-27 64 40 9d 2e 4f 94 e3,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223b21b055f6d2d2764409d2e4f94e3,WBOB,VM,VM,VM,Netfiles prd web server,Production,3,Collaboration and Web Content,OIT,rimbu002@umn.edu,rimbu002 starr027,No,Yes,oit-hosting,Fully Managed
nfprd02.oit.umn.edu,10.32.136.151,rhel-x86_64-server-7,2017-05-10,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 95 31 91 ca 0f d5-24 ec ac ac 2e 81 1b e4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,4223953191ca0fd524ecacac2e811be4,WBOB,VM,VM,VM,Netfiles prd web server,Production,3,Collaboration and Web Content,OIT,rimbu002@umn.edu,rimbu002 starr027,No,Yes,oit-hosting,Fully Managed
nftst01.oit.umn.edu,10.32.110.243,rhel-x86_64-server-7,2017-01-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 c6 f8 d5 b7 54 94-5d aa f4 2f c4 57 d4 dd,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1832,NA,4223c6f8d5b754945daaf42fc457d4dd,WBOB,VM,VM,VM,Web Server for NetFiles,Test,3,Collaboration and Web Content,OIT,rimbu002@umn.edu,rimbu002 starr027,No,No,oit-hosting,Fully Managed
nftst02.oit.umn.edu,10.32.110.172,rhel-x86_64-server-7,2017-02-28,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 2f da ea a1 61 48-20 38 8c d7 a8 62 c3 04,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1832,NA,42232fdaeaa1614820388cd7a862c304,WBOB,VM,VM,VM,NetFiles Test Web Server,Test,3,Collaboration and Web Content,OIT,rimbu002@umn.edu,rimbu002 starr027,No,No,oit-hosting,Fully Managed
nimbus.oit.umn.edu,192.168.53.135,rhel-x86_64-server-6,2014-09-11,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 0a 62 dc 85 44 03-04 a6 6f 1a 0c 0c 44 bb,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz,128G,1998,eth0-00:50:56:a3:71:31-192.168.53.135,42230a62dc85440304a66f1a0c0c44bb,WBOB,VM,VM,VM,CommVault Test,Test,NA,Hosting,OIT Server & Storage,igor@umn.edu,igor@umn.edu spark079@umn.edu,Yes,Yes,NA,NA
nts-radiusdb.oit.umn.edu,192.168.53.136,rhel-x86_64-server-6,2011-11-02,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 30 46 ad 4a a5 ca 3f-33 c1 c8 b1 09 18 66 18,NA,NA,NA,NA,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,VM,1877,eth0-00:50:56:b0:00:fc-192.168.53.136,423046ad4aa5ca3f33c1c8b109186618,WBOB,VM,NA,NA,MySQL database server for wireless usage reporting,Development,2,Data Network,NTS,tac-nts-list@umn.edu,ssb peiffer buerge garey003 fletty,No,NA,NA,NA
nts-rhel7.oit.umn.edu,128.101.122.47,rhel-x86_64-server-7,2017-01-05,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 80 d8 de 0e 4f 6f-5c 92 fd 17 3f ff 66 50,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,7815,NA,422380d8de0e4f6f5c92fd173fff6650,WBOB,VM,VM,VM,NTS application host,Production,3,Hosting,NTS,tram0004@umn.edu,tram0004 ryan ssb,No,Yes,oit-hosting,Fully Managed
oaa-webstandards.oit.umn.edu,134.84.231.211,rhel-x86_64-server-6,2012-08-02,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 11 2b be 1e 17 7f-29 cf a3 2e dc b4 a8 ef,NA,NA,NA,02 August 2012,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,NA,1877,eth0-00:50:56:a3:70:af-134.84.231.211,4223112bbe1e177f29cfa32edcb4a8ef,WBOB,NA,VM,NA,Database-enabled web content management system (Wordpress using php and mysql),Production,1,Hosting,OAA,gormsby@umn.edu,gormsby,No,NA,NA,NA
ofyp-fyparent-prd-01.oit.umn.edu,128.101.122.139,rhel-x86_64-server-7,2017-05-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 11 5b b4 bc bd 81-57 79 14 4f 45 8e f7 3d,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,4223115bb4bcbd815779144f458ef73d,WBOB,VM,VM,VM,Web Server,Production,3,Hosting,OFYP,malon209@umn.edu,malon209,No,No,oit-hosting,Jointly Managed
ofyp-fyparent-qat-01.oit.umn.edu,128.101.122.102,rhel-x86_64-server-7,2017-02-28,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 f0 2e 37 40 0e 55-ff 12 5b c5 30 df 5f 11,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1832,NA,4223f02e37400e55ff125bc530df5f11,WBOB,VM,VM,VM,Web server,Test,3,Hosting,OFYP,malon209@umn.edu,malon209,No,No,oit-hosting,Jointly Managed
ofyp-wwes-qat-01.oit.umn.edu,128.101.122.138,rhel-x86_64-server-7,2017-05-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 06 5a 12 12 1b 93-2b 8d 9d bf 23 4e bd 5f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,4223065a12121b932b8d9dbf234ebd5f,WBOB,VM,VM,VM,Web Server,Test,3,Hosting,OFYP,malon209@umn.edu,malon209,No,No,oit-hosting,Jointly Managed
oim-ldapprox-t1.oit.umn.edu,134.84.231.36,rhel-x86_64-server-6,2017-01-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 5a c2 49 78 d2 4d-b6 74 5a 90 da b3 31 65,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,3946,eth0-00:50:56:a3:5c:4a-134.84.231.36,42235ac24978d24db6745a90dab33165,WBOB,VM,VM,VM,OIM LDAP proxy server (Test),Test,NA,Identity Management,OIT,idm-mon@umn.edu,cab kor sfs,Yes,Yes,NA,NA
oim-ldap-s1.oit.umn.edu,192.168.53.38,rhel-x86_64-server-6,2017-01-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 90 8a 5b 29 c8 bf-3e 80 a9 d5 a7 50 93 39,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,16065,eth0-00:50:56:a3:1c:b8-192.168.53.38,4223908a5b29c8bf3e80a9d5a7509339,WBOB,VM,VM,VM,OIM LDAP backend (Production Shadow),Production,NA,Identity Management,OIT,idm-mon@umn.edu,cab kor sfs,Yes,Yes,NA,NA
oim-ldap-t1.oit.umn.edu,192.168.53.37,rhel-x86_64-server-6,2017-01-19,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 35 ce cd 6b 65 7c-ec 48 c0 1e 59 1e 2e e4,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,100G,7986,eth0-00:50:56:a3:1d:13-192.168.53.37,422335cecd6b657cec48c01e591e2ee4,WBOB,VM,VM,VM,OIM LDAP backend server (Test),Test,NA,Identity Management,OIT,idm-mon@umn.edu,cab kor sfs,Yes,Yes,NA,NA
oir-web1.oit.umn.edu,134.84.192.24,rhel-x86_64-server-6,2013-01-17,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 24 03 cf 8e 91 8e-c5 7b d6 ac 4c 8c 58 79,NA,NA,NA,17 Jan 2013,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,150GB,8002,eth0-00:50:56:a3:19:3b-134.84.192.24,42232403cf8e918ec57bd6ac4c8c5879,WBOB,NA,VM,1VU,Prod server for oir web apps,Production,1,Hosting,OIR,oir-web@umn.edu,j-kell bege0005 j-murd,No,NA,NA,NA
oir-web2.oit.umn.edu,192.168.53.132,rhel-x86_64-server-6,2013-01-14,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 91 39 4b e9 57 dc-fa c0 49 4c 28 7a 89 79,NA,NA,NA,10 Jan 2013,Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz,150GB,3962,eth0-00:50:56:a3:19:23-192.168.53.132,422391394be957dcfac0494c287a8979,WBOB,NA,VM,1VU,Dev/staging server for oir web apps,Development,2,Hosting,OIR,oir-web@umn.edu,j-kell bege0005 j-murd,No,NA,NA,NA
oir-web-dev.oit.umn.edu,10.32.110.183,rhel-x86_64-server-7,2016-06-09,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 87 5e dd b5 61 be-7e 26 4b d5 0b 87 1e 25,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,993,NA,4223875eddb561be7e264bd50b871e25,WBOB,VM,VM,VM,Web Server,Development,2,Hosting,OIR,bege0005@umn.edu,bege0005@umn.edu j-murd@umn.edu tarab005@umn.edu,No,Yes,NA,NA
oir-web-prd.oit.umn.edu,134.84.212.97,rhel-x86_64-server-7,2016-06-10,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 89 43 90 ae 84 67-e9 bb 30 cb b2 c3 67 8f,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,993,NA,4223894390ae8467e9bb30cbb2c3678f,WBOB,VM,VM,VM,Web,Production,1,Hosting,OIR,bege0005@umn.edu,bege0005@umn.edu j-murd@umn.edu tarab005@umn.edu,No,Yes,NA,NA
oit-apm-tst.oit.umn.edu,192.168.53.95,rhel-x86_64-server-7,2017-06-26,Phoenix Technologies LTD,VMware Virtual Platform None,VMware-42 23 45 ee fa 62 30 a3-27 0a 2b 1f e6 3f 44 82,NA,NA,NA,NA,Intel(R) Xeon(R) CPU E5-2695 v3 @ 2.30GHz,50G,1831,NA,422345eefa6230a3270a2b1fe63f4482,WBOB,VM,VM,VM,Application Portfolio Management,Test,3,Student Administration,OIT,ding0057@umn.edu,ding0057 jake paulr brown285 galvi024,No,No,oit-hosting,Jointly Managed
